#    L    TT             EE             BB             TE          
   367   0.191330E+04   0.185584E+02   0.346862E-01   0.539311E+02
   368   0.189689E+04   0.186428E+02   0.347914E-01   0.522459E+02
   369   0.188106E+04   0.187244E+02   0.348968E-01   0.505463E+02
   370   0.186559E+04   0.188023E+02   0.350025E-01   0.488373E+02
   371   0.185047E+04   0.188767E+02   0.351084E-01   0.471154E+02
   372   0.183578E+04   0.189482E+02   0.352146E-01   0.453848E+02
   373   0.182152E+04   0.190162E+02   0.353211E-01   0.436427E+02
   374   0.180768E+04   0.190813E+02   0.354279E-01   0.418927E+02
   375   0.179421E+04   0.191429E+02   0.355350E-01   0.401347E+02
   376   0.178123E+04   0.192017E+02   0.356425E-01   0.383688E+02
   377   0.176868E+04   0.192562E+02   0.357503E-01   0.365979E+02
   378   0.175647E+04   0.193072E+02   0.358585E-01   0.348189E+02
   379   0.174470E+04   0.193554E+02   0.359671E-01   0.330364E+02
   380   0.173342E+04   0.194008E+02   0.360761E-01   0.312480E+02
   381   0.172250E+04   0.194398E+02   0.361856E-01   0.294566E+02
   382   0.171192E+04   0.194775E+02   0.362955E-01   0.276631E+02
   383   0.170184E+04   0.195109E+02   0.364058E-01   0.258658E+02
   384   0.169226E+04   0.195401E+02   0.365167E-01   0.240685E+02
   385   0.168295E+04   0.195674E+02   0.366280E-01   0.222697E+02
   386   0.167414E+04   0.195904E+02   0.367398E-01   0.204715E+02
   387   0.166568E+04   0.196092E+02   0.368522E-01   0.186738E+02
   388   0.165763E+04   0.196246E+02   0.369651E-01   0.168783E+02
   389   0.165001E+04   0.196343E+02   0.370785E-01   0.150847E+02
   390   0.164280E+04   0.196435E+02   0.371925E-01   0.132954E+02
   391   0.163602E+04   0.196478E+02   0.373071E-01   0.115088E+02
   392   0.162958E+04   0.196502E+02   0.374223E-01   0.972775E+01
   393   0.162363E+04   0.196476E+02   0.375381E-01   0.795160E+01
   394   0.161803E+04   0.196417E+02   0.376545E-01   0.618249E+01
