#    L    TT             EE             BB             TE          
   383   0.172028E+04   0.193790E+02   0.370847E-01   0.295846E+02
   384   0.170991E+04   0.194153E+02   0.371970E-01   0.278063E+02
   385   0.169981E+04   0.194497E+02   0.373097E-01   0.260251E+02
   386   0.169020E+04   0.194800E+02   0.374229E-01   0.242429E+02
   387   0.168093E+04   0.195062E+02   0.375366E-01   0.224597E+02
   388   0.167209E+04   0.195290E+02   0.376508E-01   0.206771E+02
   389   0.166366E+04   0.195461E+02   0.377655E-01   0.188949E+02
   390   0.165565E+04   0.195629E+02   0.378808E-01   0.171152E+02
   391   0.164806E+04   0.195748E+02   0.379966E-01   0.153367E+02
   392   0.164082E+04   0.195848E+02   0.381130E-01   0.135621E+02
   393   0.163406E+04   0.195900E+02   0.382300E-01   0.117906E+02
   394   0.162765E+04   0.195919E+02   0.383476E-01   0.100245E+02
