#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.155568E+00   0.153199E+07   0.143904E+07   0.148662E+01  -0.196133E+01   0.612022E+05   0.150949E+07   0.151638E+07   0.150949E+07  -0.340713E-01   0.731536E+06   0.731430E+06   0.225692E+00
   0.160763E+00   0.146015E+07   0.137132E+07   0.132672E+01  -0.175050E+01   0.554769E+05   0.143866E+07   0.144523E+07   0.143866E+07  -0.324724E-01   0.697210E+06   0.697108E+06   0.211118E+00
   0.165957E+00   0.140104E+07   0.131596E+07   0.119455E+01  -0.157620E+01   0.506939E+05   0.138043E+07   0.138675E+07   0.138043E+07  -0.311582E-01   0.668995E+06   0.668899E+06   0.192197E+00
   0.171152E+00   0.135216E+07   0.127049E+07   0.108400E+01  -0.143036E+01   0.466524E+05   0.133233E+07   0.133844E+07   0.133233E+07  -0.300725E-01   0.645686E+06   0.645598E+06   0.171310E+00
   0.176346E+00   0.130999E+07   0.123144E+07   0.989304E+00  -0.130543E+01   0.431491E+05   0.129087E+07   0.129680E+07   0.129087E+07  -0.291366E-01   0.625593E+06   0.625513E+06   0.151137E+00
   0.181541E+00   0.127108E+07   0.119540E+07   0.905834E+00  -0.119531E+01   0.400145E+05   0.125261E+07   0.125838E+07   0.125261E+07  -0.282731E-01   0.607054E+06   0.606982E+06   0.133903E+00
   0.186735E+00   0.123238E+07   0.115938E+07   0.830102E+00  -0.109540E+01   0.371171E+05   0.121452E+07   0.122012E+07   0.121452E+07  -0.274134E-01   0.588598E+06   0.588531E+06   0.120880E+00
   0.191930E+00   0.119170E+07   0.112125E+07   0.759837E+00  -0.100272E+01   0.343721E+05   0.117445E+07   0.117987E+07   0.117445E+07  -0.265089E-01   0.569179E+06   0.569114E+06   0.112241E+00
   0.197124E+00   0.114848E+07   0.108049E+07   0.694159E+00  -0.916095E+00   0.317519E+05   0.113183E+07   0.113706E+07   0.113183E+07  -0.255469E-01   0.548525E+06   0.548462E+06   0.107246E+00
   0.202319E+00   0.110374E+07   0.103814E+07   0.633251E+00  -0.835764E+00   0.292757E+05   0.108769E+07   0.109272E+07   0.108769E+07  -0.245506E-01   0.527136E+06   0.527073E+06   0.104594E+00
