#    L    TT             EE             BB             TE          
   370    0.18755E+04    0.18952E+02    0.34533E-01    0.49066E+02
   371    0.18603E+04    0.19027E+02    0.34637E-01    0.47332E+02
   372    0.18455E+04    0.19099E+02    0.34741E-01    0.45589E+02
   373    0.18311E+04    0.19167E+02    0.34845E-01    0.43835E+02
   374    0.18172E+04    0.19233E+02    0.34950E-01    0.42073E+02
   375    0.18037E+04    0.19295E+02    0.35055E-01    0.40303E+02
   376    0.17906E+04    0.19354E+02    0.35160E-01    0.38524E+02
   377    0.17780E+04    0.19409E+02    0.35266E-01    0.36741E+02
   378    0.17657E+04    0.19461E+02    0.35372E-01    0.34950E+02
   379    0.17539E+04    0.19509E+02    0.35478E-01    0.33155E+02
   380    0.17425E+04    0.19555E+02    0.35585E-01    0.31354E+02
   381    0.17316E+04    0.19594E+02    0.35693E-01    0.29550E+02
   382    0.17209E+04    0.19632E+02    0.35800E-01    0.27744E+02
   383    0.17108E+04    0.19666E+02    0.35908E-01    0.25935E+02
   384    0.17011E+04    0.19696E+02    0.36017E-01    0.24125E+02
   385    0.16918E+04    0.19723E+02    0.36126E-01    0.22314E+02
   386    0.16829E+04    0.19746E+02    0.36236E-01    0.20503E+02
   387    0.16744E+04    0.19766E+02    0.36346E-01    0.18693E+02
   388    0.16663E+04    0.19781E+02    0.36457E-01    0.16885E+02
   389    0.16586E+04    0.19791E+02    0.36568E-01    0.15079E+02
   390    0.16514E+04    0.19800E+02    0.36679E-01    0.13277E+02
   391    0.16446E+04    0.19805E+02    0.36792E-01    0.11478E+02
   392    0.16381E+04    0.19807E+02    0.36905E-01    0.96851E+01
   393    0.16321E+04    0.19805E+02    0.37018E-01    0.78967E+01
   394    0.16264E+04    0.19799E+02    0.37132E-01    0.61154E+01
