#    L    TT             EE             BB             TE             PP             TP             EP          
   161    0.45568E+04    0.94713E+00    0.00000E+00   -0.42691E+02    0.65788E-07    0.20406E-03   -0.70239E-06
   162    0.45853E+04    0.93828E+00    0.00000E+00   -0.42430E+02    0.65401E-07    0.20216E-03   -0.70049E-06
   163    0.46136E+04    0.92915E+00    0.00000E+00   -0.42142E+02    0.65017E-07    0.20028E-03   -0.69863E-06
   164    0.46415E+04    0.91982E+00    0.00000E+00   -0.41830E+02    0.64636E-07    0.19843E-03   -0.69674E-06
   165    0.46692E+04    0.91022E+00    0.00000E+00   -0.41491E+02    0.64259E-07    0.19659E-03   -0.69474E-06
   166    0.46966E+04    0.90048E+00    0.00000E+00   -0.41126E+02    0.63885E-07    0.19478E-03   -0.69259E-06
   167    0.47238E+04    0.89040E+00    0.00000E+00   -0.40737E+02    0.63514E-07    0.19299E-03   -0.69022E-06
   168    0.47506E+04    0.88034E+00    0.00000E+00   -0.40320E+02    0.63146E-07    0.19122E-03   -0.68756E-06
   169    0.47770E+04    0.87000E+00    0.00000E+00   -0.39877E+02    0.62781E-07    0.18948E-03   -0.68456E-06
   170    0.48031E+04    0.85961E+00    0.00000E+00   -0.39408E+02    0.62420E-07    0.18775E-03   -0.68113E-06
   171    0.48288E+04    0.84917E+00    0.00000E+00   -0.38911E+02    0.62062E-07    0.18605E-03   -0.67724E-06
   172    0.48541E+04    0.83860E+00    0.00000E+00   -0.38388E+02    0.61706E-07    0.18437E-03   -0.67280E-06
   173    0.48789E+04    0.82790E+00    0.00000E+00   -0.37839E+02    0.61354E-07    0.18272E-03   -0.66776E-06
   174    0.49034E+04    0.81738E+00    0.00000E+00   -0.37264E+02    0.61005E-07    0.18108E-03   -0.66205E-06
   175    0.49276E+04    0.80672E+00    0.00000E+00   -0.36661E+02    0.60659E-07    0.17947E-03   -0.65562E-06
   176    0.49512E+04    0.79616E+00    0.00000E+00   -0.36032E+02    0.60316E-07    0.17788E-03   -0.64840E-06
   177    0.49744E+04    0.78563E+00    0.00000E+00   -0.35377E+02    0.59976E-07    0.17632E-03   -0.64043E-06
   178    0.49971E+04    0.77533E+00    0.00000E+00   -0.34695E+02    0.59638E-07    0.17477E-03   -0.63174E-06
   179    0.50194E+04    0.76498E+00    0.00000E+00   -0.33986E+02    0.59304E-07    0.17325E-03   -0.62236E-06
   180    0.50414E+04    0.75480E+00    0.00000E+00   -0.33252E+02    0.58973E-07    0.17174E-03   -0.61232E-06
   181    0.50628E+04    0.74478E+00    0.00000E+00   -0.32492E+02    0.58644E-07    0.17026E-03   -0.60167E-06
   182    0.50838E+04    0.73501E+00    0.00000E+00   -0.31705E+02    0.58318E-07    0.16879E-03   -0.59043E-06
   183    0.51043E+04    0.72541E+00    0.00000E+00   -0.30893E+02    0.57995E-07    0.16735E-03   -0.57865E-06
   184    0.51244E+04    0.71604E+00    0.00000E+00   -0.30055E+02    0.57675E-07    0.16592E-03   -0.56636E-06
   185    0.51441E+04    0.70706E+00    0.00000E+00   -0.29193E+02    0.57358E-07    0.16451E-03   -0.55359E-06
   186    0.51629E+04    0.69833E+00    0.00000E+00   -0.28304E+02    0.57043E-07    0.16312E-03   -0.54038E-06
   187    0.51815E+04    0.68999E+00    0.00000E+00   -0.27390E+02    0.56731E-07    0.16174E-03   -0.52676E-06
   188    0.51997E+04    0.68202E+00    0.00000E+00   -0.26452E+02    0.56421E-07    0.16038E-03   -0.51277E-06
   189    0.52172E+04    0.67446E+00    0.00000E+00   -0.25488E+02    0.56115E-07    0.15904E-03   -0.49844E-06
   190    0.52346E+04    0.66735E+00    0.00000E+00   -0.24502E+02    0.55810E-07    0.15771E-03   -0.48381E-06
   191    0.52511E+04    0.66074E+00    0.00000E+00   -0.23489E+02    0.55509E-07    0.15640E-03   -0.46892E-06
   192    0.52672E+04    0.65462E+00    0.00000E+00   -0.22453E+02    0.55209E-07    0.15510E-03   -0.45379E-06
