#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    95    0.23981E+04   -0.18990E+02    0.43083E-05   -0.18990E+02    0.66570E+00   -0.13888E-07    0.43083E-05   -0.13888E-07    0.11535E-10
    96    0.24264E+04   -0.19609E+02    0.42086E-05   -0.19609E+02    0.68011E+00   -0.13892E-07    0.42086E-05   -0.13892E-07    0.11225E-10
    97    0.24550E+04   -0.20231E+02    0.41125E-05   -0.20231E+02    0.69443E+00   -0.13740E-07    0.41125E-05   -0.13740E-07    0.10926E-10
    98    0.24839E+04   -0.20853E+02    0.40198E-05   -0.20853E+02    0.70865E+00   -0.13450E-07    0.40198E-05   -0.13450E-07    0.10637E-10
    99    0.25129E+04   -0.21479E+02    0.39303E-05   -0.21479E+02    0.72274E+00   -0.13040E-07    0.39303E-05   -0.13040E-07    0.10358E-10
   100    0.25421E+04   -0.22103E+02    0.38439E-05   -0.22103E+02    0.73668E+00   -0.12528E-07    0.38439E-05   -0.12528E-07    0.10089E-10
   101    0.25715E+04   -0.22729E+02    0.37605E-05   -0.22729E+02    0.75055E+00   -0.11932E-07    0.37605E-05   -0.11932E-07    0.98291E-11
   102    0.26013E+04   -0.23355E+02    0.36798E-05   -0.23355E+02    0.76419E+00   -0.11270E-07    0.36798E-05   -0.11270E-07    0.95782E-11
   103    0.26312E+04   -0.23981E+02    0.36018E-05   -0.23981E+02    0.77769E+00   -0.10560E-07    0.36018E-05   -0.10560E-07    0.93359E-11
   104    0.26612E+04   -0.24605E+02    0.35263E-05   -0.24605E+02    0.79103E+00   -0.98193E-08    0.35263E-05   -0.98193E-08    0.91017E-11
   105    0.26913E+04   -0.25228E+02    0.34532E-05   -0.25228E+02    0.80415E+00   -0.90668E-08    0.34532E-05   -0.90668E-08    0.88753E-11
   106    0.27217E+04   -0.25850E+02    0.33822E-05   -0.25850E+02    0.81712E+00   -0.83200E-08    0.33822E-05   -0.83200E-08    0.86563E-11
   107    0.27520E+04   -0.26468E+02    0.33133E-05   -0.26468E+02    0.82980E+00   -0.75969E-08    0.33133E-05   -0.75969E-08    0.84443E-11
   108    0.27827E+04   -0.27084E+02    0.32464E-05   -0.27084E+02    0.84225E+00   -0.69156E-08    0.32464E-05   -0.69156E-08    0.82390E-11
   109    0.28135E+04   -0.27697E+02    0.31812E-05   -0.27697E+02    0.85441E+00   -0.62940E-08    0.31812E-05   -0.62940E-08    0.80400E-11
   110    0.28444E+04   -0.28305E+02    0.31176E-05   -0.28305E+02    0.86628E+00   -0.57501E-08    0.31176E-05   -0.57501E-08    0.78469E-11
   111    0.28754E+04   -0.28909E+02    0.30555E-05   -0.28909E+02    0.87792E+00   -0.52978E-08    0.30555E-05   -0.52978E-08    0.76594E-11
   112    0.29066E+04   -0.29509E+02    0.29948E-05   -0.29509E+02    0.88927E+00   -0.49346E-08    0.29948E-05   -0.49346E-08    0.74772E-11
   113    0.29380E+04   -0.30102E+02    0.29356E-05   -0.30102E+02    0.90032E+00   -0.46541E-08    0.29356E-05   -0.46541E-08    0.73004E-11
   114    0.29694E+04   -0.30690E+02    0.28778E-05   -0.30690E+02    0.91101E+00   -0.44499E-08    0.28778E-05   -0.44499E-08    0.71286E-11
   115    0.30011E+04   -0.31271E+02    0.28213E-05   -0.31271E+02    0.92148E+00   -0.43154E-08    0.28213E-05   -0.43154E-08    0.69619E-11
   116    0.30328E+04   -0.31844E+02    0.27662E-05   -0.31844E+02    0.93151E+00   -0.42442E-08    0.27662E-05   -0.42442E-08    0.68000E-11
   117    0.30648E+04   -0.32409E+02    0.27124E-05   -0.32409E+02    0.94117E+00   -0.42298E-08    0.27124E-05   -0.42298E-08    0.66428E-11
   118    0.30969E+04   -0.32967E+02    0.26599E-05   -0.32967E+02    0.95061E+00   -0.42658E-08    0.26599E-05   -0.42658E-08    0.64902E-11
   119    0.31290E+04   -0.33516E+02    0.26087E-05   -0.33516E+02    0.95969E+00   -0.43456E-08    0.26087E-05   -0.43456E-08    0.63421E-11
   120    0.31612E+04   -0.34055E+02    0.25587E-05   -0.34055E+02    0.96826E+00   -0.44628E-08    0.25587E-05   -0.44628E-08    0.61983E-11
   121    0.31935E+04   -0.34584E+02    0.25099E-05   -0.34584E+02    0.97661E+00   -0.46110E-08    0.25099E-05   -0.46110E-08    0.60587E-11
   122    0.32258E+04   -0.35102E+02    0.24623E-05   -0.35102E+02    0.98444E+00   -0.47836E-08    0.24623E-05   -0.47836E-08    0.59231E-11
   123    0.32581E+04   -0.35611E+02    0.24160E-05   -0.35611E+02    0.99184E+00   -0.49742E-08    0.24160E-05   -0.49742E-08    0.57915E-11
   124    0.32905E+04   -0.36105E+02    0.23707E-05   -0.36105E+02    0.99887E+00   -0.51763E-08    0.23707E-05   -0.51763E-08    0.56636E-11
   125    0.33229E+04   -0.36589E+02    0.23266E-05   -0.36589E+02    0.10055E+01   -0.53835E-08    0.23266E-05   -0.53835E-08    0.55394E-11
   126    0.33554E+04   -0.37061E+02    0.22836E-05   -0.37061E+02    0.10117E+01   -0.55892E-08    0.22836E-05   -0.55892E-08    0.54186E-11
   127    0.33879E+04   -0.37520E+02    0.22417E-05   -0.37520E+02    0.10174E+01   -0.57870E-08    0.22417E-05   -0.57870E-08    0.53013E-11
   128    0.34203E+04   -0.37965E+02    0.22008E-05   -0.37965E+02    0.10228E+01   -0.59705E-08    0.22008E-05   -0.59705E-08    0.51872E-11
   129    0.34528E+04   -0.38397E+02    0.21609E-05   -0.38397E+02    0.10276E+01   -0.61331E-08    0.21609E-05   -0.61331E-08    0.50761E-11
   130    0.34853E+04   -0.38813E+02    0.21221E-05   -0.38813E+02    0.10320E+01   -0.62684E-08    0.21221E-05   -0.62684E-08    0.49681E-11
   131    0.35178E+04   -0.39216E+02    0.20842E-05   -0.39216E+02    0.10359E+01   -0.63713E-08    0.20842E-05   -0.63713E-08    0.48629E-11
   132    0.35503E+04   -0.39602E+02    0.20472E-05   -0.39602E+02    0.10394E+01   -0.64427E-08    0.20472E-05   -0.64427E-08    0.47604E-11
   133    0.35827E+04   -0.39974E+02    0.20112E-05   -0.39974E+02    0.10424E+01   -0.64847E-08    0.20112E-05   -0.64847E-08    0.46607E-11
   134    0.36151E+04   -0.40328E+02    0.19761E-05   -0.40328E+02    0.10450E+01   -0.64996E-08    0.19761E-05   -0.64996E-08    0.45636E-11
   135    0.36476E+04   -0.40666E+02    0.19419E-05   -0.40666E+02    0.10471E+01   -0.64896E-08    0.19419E-05   -0.64896E-08    0.44690E-11
   136    0.36798E+04   -0.40984E+02    0.19085E-05   -0.40984E+02    0.10487E+01   -0.64568E-08    0.19085E-05   -0.64568E-08    0.43770E-11
   137    0.37120E+04   -0.41286E+02    0.18759E-05   -0.41286E+02    0.10499E+01   -0.64035E-08    0.18759E-05   -0.64035E-08    0.42873E-11
   138    0.37442E+04   -0.41569E+02    0.18441E-05   -0.41569E+02    0.10505E+01   -0.63320E-08    0.18441E-05   -0.63320E-08    0.42001E-11
   139    0.37761E+04   -0.41834E+02    0.18131E-05   -0.41834E+02    0.10508E+01   -0.62444E-08    0.18131E-05   -0.62444E-08    0.41151E-11
   140    0.38081E+04   -0.42080E+02    0.17828E-05   -0.42080E+02    0.10505E+01   -0.61430E-08    0.17828E-05   -0.61430E-08    0.40323E-11
   141    0.38399E+04   -0.42305E+02    0.17532E-05   -0.42305E+02    0.10497E+01   -0.60299E-08    0.17532E-05   -0.60299E-08    0.39517E-11
   142    0.38717E+04   -0.42511E+02    0.17243E-05   -0.42511E+02    0.10485E+01   -0.59074E-08    0.17243E-05   -0.59074E-08    0.38732E-11
   143    0.39033E+04   -0.42697E+02    0.16961E-05   -0.42697E+02    0.10469E+01   -0.57778E-08    0.16961E-05   -0.57778E-08    0.37967E-11
   144    0.39348E+04   -0.42863E+02    0.16685E-05   -0.42863E+02    0.10447E+01   -0.56431E-08    0.16685E-05   -0.56431E-08    0.37222E-11
   145    0.39661E+04   -0.43008E+02    0.16415E-05   -0.43008E+02    0.10422E+01   -0.55057E-08    0.16415E-05   -0.55057E-08    0.36496E-11
   146    0.39975E+04   -0.43132E+02    0.16150E-05   -0.43132E+02    0.10391E+01   -0.53677E-08    0.16150E-05   -0.53677E-08    0.35787E-11
   147    0.40286E+04   -0.43233E+02    0.15891E-05   -0.43233E+02    0.10357E+01   -0.52314E-08    0.15891E-05   -0.52314E-08    0.35097E-11
   148    0.40594E+04   -0.43314E+02    0.15637E-05   -0.43314E+02    0.10317E+01   -0.50989E-08    0.15637E-05   -0.50989E-08    0.34423E-11
   149    0.40902E+04   -0.43372E+02    0.15388E-05   -0.43372E+02    0.10274E+01   -0.49726E-08    0.15388E-05   -0.49726E-08    0.33765E-11
   150    0.41208E+04   -0.43406E+02    0.15144E-05   -0.43406E+02    0.10226E+01   -0.48546E-08    0.15144E-05   -0.48546E-08    0.33123E-11
