#    L    TT             EE             TE             PP             TP          
   285    0.41989E+04    0.62809E+01    0.10341E+03    0.17875E+07    0.12238E+04
   286    0.41687E+04    0.64294E+01    0.10416E+03    0.17801E+07    0.12133E+04
   287    0.41382E+04    0.65795E+01    0.10489E+03    0.17729E+07    0.12029E+04
   288    0.41076E+04    0.67311E+01    0.10558E+03    0.17657E+07    0.11926E+04
   289    0.40769E+04    0.68843E+01    0.10625E+03    0.17585E+07    0.11824E+04
   290    0.40460E+04    0.70387E+01    0.10688E+03    0.17514E+07    0.11722E+04
   291    0.40149E+04    0.71952E+01    0.10747E+03    0.17443E+07    0.11621E+04
   292    0.39835E+04    0.73527E+01    0.10804E+03    0.17373E+07    0.11520E+04
   293    0.39522E+04    0.75108E+01    0.10857E+03    0.17303E+07    0.11421E+04
   294    0.39207E+04    0.76709E+01    0.10908E+03    0.17233E+07    0.11322E+04
   295    0.38892E+04    0.78316E+01    0.10954E+03    0.17164E+07    0.11223E+04
   296    0.38575E+04    0.79944E+01    0.10997E+03    0.17095E+07    0.11125E+04
   297    0.38257E+04    0.81570E+01    0.11037E+03    0.17027E+07    0.11028E+04
   298    0.37937E+04    0.83217E+01    0.11073E+03    0.16959E+07    0.10932E+04
   299    0.37618E+04    0.84877E+01    0.11106E+03    0.16891E+07    0.10836E+04
   300    0.37297E+04    0.86535E+01    0.11135E+03    0.16824E+07    0.10740E+04
   301    0.36976E+04    0.88207E+01    0.11161E+03    0.16758E+07    0.10646E+04
   302    0.36655E+04    0.89884E+01    0.11184E+03    0.16691E+07    0.10551E+04
   303    0.36333E+04    0.91574E+01    0.11202E+03    0.16625E+07    0.10458E+04
   304    0.36011E+04    0.93278E+01    0.11217E+03    0.16560E+07    0.10365E+04
   305    0.35690E+04    0.94980E+01    0.11228E+03    0.16494E+07    0.10272E+04
   306    0.35367E+04    0.96688E+01    0.11237E+03    0.16430E+07    0.10180E+04
   307    0.35045E+04    0.98402E+01    0.11240E+03    0.16365E+07    0.10089E+04
   308    0.34723E+04    0.10014E+02    0.11242E+03    0.16301E+07    0.99986E+03
   309    0.34402E+04    0.10186E+02    0.11238E+03    0.16237E+07    0.99086E+03
   310    0.34081E+04    0.10359E+02    0.11232E+03    0.16174E+07    0.98191E+03
   311    0.33760E+04    0.10533E+02    0.11222E+03    0.16111E+07    0.97303E+03
   312    0.33440E+04    0.10707E+02    0.11208E+03    0.16048E+07    0.96421E+03
   313    0.33121E+04    0.10881E+02    0.11190E+03    0.15986E+07    0.95545E+03
   314    0.32802E+04    0.11056E+02    0.11170E+03    0.15924E+07    0.94675E+03
   315    0.32484E+04    0.11230E+02    0.11145E+03    0.15862E+07    0.93811E+03
   316    0.32168E+04    0.11404E+02    0.11117E+03    0.15801E+07    0.92953E+03
   317    0.31852E+04    0.11578E+02    0.11085E+03    0.15740E+07    0.92101E+03
   318    0.31537E+04    0.11753E+02    0.11049E+03    0.15680E+07    0.91256E+03
   319    0.31223E+04    0.11927E+02    0.11010E+03    0.15619E+07    0.90416E+03
   320    0.30912E+04    0.12101E+02    0.10968E+03    0.15559E+07    0.89583E+03
