#    L    TT             EE             TE             PP             TP          
   198    0.53531E+04    0.63062E+00   -0.15755E+02    0.24704E+07    0.25079E+04
   199    0.53656E+04    0.62906E+00   -0.14561E+02    0.24575E+07    0.24874E+04
   200    0.53776E+04    0.62828E+00   -0.13347E+02    0.24447E+07    0.24669E+04
   201    0.53890E+04    0.62835E+00   -0.12111E+02    0.24320E+07    0.24467E+04
   202    0.53999E+04    0.62926E+00   -0.10855E+02    0.24194E+07    0.24266E+04
   203    0.54102E+04    0.63108E+00   -0.95784E+01    0.24069E+07    0.24066E+04
   204    0.54199E+04    0.63382E+00   -0.82841E+01    0.23944E+07    0.23868E+04
   205    0.54290E+04    0.63754E+00   -0.69698E+01    0.23821E+07    0.23672E+04
   206    0.54375E+04    0.64226E+00   -0.56368E+01    0.23699E+07    0.23477E+04
   207    0.54455E+04    0.64800E+00   -0.42855E+01    0.23578E+07    0.23283E+04
   208    0.54528E+04    0.65483E+00   -0.29164E+01    0.23458E+07    0.23091E+04
   209    0.54594E+04    0.66275E+00   -0.15299E+01    0.23338E+07    0.22901E+04
   210    0.54655E+04    0.67182E+00   -0.12689E+00    0.23220E+07    0.22712E+04
   211    0.54710E+04    0.68207E+00    0.12926E+01    0.23103E+07    0.22524E+04
   212    0.54757E+04    0.69352E+00    0.27276E+01    0.22986E+07    0.22338E+04
   213    0.54800E+04    0.70622E+00    0.41783E+01    0.22871E+07    0.22153E+04
   214    0.54835E+04    0.72016E+00    0.56433E+01    0.22756E+07    0.21970E+04
   215    0.54865E+04    0.73553E+00    0.71220E+01    0.22642E+07    0.21788E+04
   216    0.54889E+04    0.75215E+00    0.86148E+01    0.22530E+07    0.21608E+04
   217    0.54907E+04    0.77016E+00    0.10120E+02    0.22418E+07    0.21429E+04
   218    0.54919E+04    0.78958E+00    0.11637E+02    0.22307E+07    0.21251E+04
   219    0.54924E+04    0.81039E+00    0.13168E+02    0.22197E+07    0.21075E+04
   220    0.54924E+04    0.83274E+00    0.14708E+02    0.22087E+07    0.20900E+04
   221    0.54918E+04    0.85656E+00    0.16259E+02    0.21979E+07    0.20726E+04
   222    0.54907E+04    0.88199E+00    0.17820E+02    0.21871E+07    0.20554E+04
   223    0.54888E+04    0.90897E+00    0.19391E+02    0.21764E+07    0.20384E+04
   224    0.54864E+04    0.93748E+00    0.20969E+02    0.21659E+07    0.20214E+04
   225    0.54834E+04    0.96768E+00    0.22556E+02    0.21553E+07    0.20046E+04
   226    0.54798E+04    0.99956E+00    0.24150E+02    0.21449E+07    0.19879E+04
   227    0.54756E+04    0.10331E+01    0.25751E+02    0.21346E+07    0.19714E+04
   228    0.54708E+04    0.10684E+01    0.27358E+02    0.21243E+07    0.19550E+04
   229    0.54654E+04    0.11054E+01    0.28969E+02    0.21141E+07    0.19387E+04
   230    0.54594E+04    0.11441E+01    0.30586E+02    0.21040E+07    0.19225E+04
   231    0.54528E+04    0.11847E+01    0.32208E+02    0.20940E+07    0.19065E+04
   232    0.54456E+04    0.12270E+01    0.33832E+02    0.20840E+07    0.18906E+04
   233    0.54378E+04    0.12713E+01    0.35458E+02    0.20741E+07    0.18749E+04
   234    0.54293E+04    0.13174E+01    0.37087E+02    0.20643E+07    0.18592E+04
   235    0.54203E+04    0.13654E+01    0.38716E+02    0.20546E+07    0.18437E+04
   236    0.54107E+04    0.14153E+01    0.40346E+02    0.20449E+07    0.18283E+04
   237    0.54004E+04    0.14672E+01    0.41975E+02    0.20353E+07    0.18130E+04
   238    0.53896E+04    0.15211E+01    0.43604E+02    0.20258E+07    0.17979E+04
   239    0.53782E+04    0.15769E+01    0.45232E+02    0.20164E+07    0.17828E+04
   240    0.53662E+04    0.16347E+01    0.46856E+02    0.20070E+07    0.17679E+04
   241    0.53536E+04    0.16945E+01    0.48477E+02    0.19977E+07    0.17531E+04
   242    0.53405E+04    0.17564E+01    0.50095E+02    0.19884E+07    0.17385E+04
   243    0.53269E+04    0.18203E+01    0.51707E+02    0.19793E+07    0.17239E+04
   244    0.53126E+04    0.18863E+01    0.53315E+02    0.19701E+07    0.17095E+04
   245    0.52977E+04    0.19543E+01    0.54916E+02    0.19611E+07    0.16951E+04
   246    0.52824E+04    0.20245E+01    0.56512E+02    0.19521E+07    0.16809E+04
   247    0.52665E+04    0.20967E+01    0.58099E+02    0.19432E+07    0.16668E+04
   248    0.52500E+04    0.21713E+01    0.59678E+02    0.19344E+07    0.16529E+04
   249    0.52331E+04    0.22477E+01    0.61249E+02    0.19256E+07    0.16390E+04
   250    0.52156E+04    0.23265E+01    0.62809E+02    0.19168E+07    0.16252E+04
   251    0.51977E+04    0.24073E+01    0.64360E+02    0.19082E+07    0.16116E+04
   252    0.51792E+04    0.24904E+01    0.65900E+02    0.18996E+07    0.15980E+04
   253    0.51603E+04    0.25754E+01    0.67428E+02    0.18910E+07    0.15846E+04
   254    0.51408E+04    0.26628E+01    0.68943E+02    0.18825E+07    0.15713E+04
