#    L    TT             EE             BB             TE             PP             TP             EP          
   208    0.53102E+04    0.64375E+00    0.00000E+00   -0.31287E+01    0.54686E-07    0.13714E-03   -0.22518E-06
   209    0.53164E+04    0.65127E+00    0.00000E+00   -0.17672E+01    0.54413E-07    0.13601E-03   -0.21036E-06
   210    0.53221E+04    0.65992E+00    0.00000E+00   -0.38951E+00    0.54142E-07    0.13489E-03   -0.19558E-06
   211    0.53271E+04    0.66973E+00    0.00000E+00    0.10042E+01    0.53873E-07    0.13377E-03   -0.18085E-06
   212    0.53315E+04    0.68072E+00    0.00000E+00    0.24131E+01    0.53606E-07    0.13267E-03   -0.16617E-06
   213    0.53353E+04    0.69295E+00    0.00000E+00    0.38371E+01    0.53341E-07    0.13157E-03   -0.15155E-06
   214    0.53385E+04    0.70640E+00    0.00000E+00    0.52751E+01    0.53078E-07    0.13049E-03   -0.13697E-06
   215    0.53412E+04    0.72127E+00    0.00000E+00    0.67264E+01    0.52817E-07    0.12941E-03   -0.12244E-06
   216    0.53431E+04    0.73736E+00    0.00000E+00    0.81915E+01    0.52558E-07    0.12834E-03   -0.10797E-06
   217    0.53446E+04    0.75483E+00    0.00000E+00    0.96684E+01    0.52301E-07    0.12727E-03   -0.93550E-07
   218    0.53454E+04    0.77367E+00    0.00000E+00    0.11157E+02    0.52046E-07    0.12622E-03   -0.79182E-07
   219    0.53457E+04    0.79389E+00    0.00000E+00    0.12659E+02    0.51793E-07    0.12517E-03   -0.64869E-07
   220    0.53454E+04    0.81563E+00    0.00000E+00    0.14170E+02    0.51542E-07    0.12414E-03   -0.50609E-07
   221    0.53445E+04    0.83882E+00    0.00000E+00    0.15691E+02    0.51293E-07    0.12311E-03   -0.36405E-07
   222    0.53430E+04    0.86360E+00    0.00000E+00    0.17222E+02    0.51046E-07    0.12209E-03   -0.22256E-07
   223    0.53408E+04    0.88989E+00    0.00000E+00    0.18763E+02    0.50801E-07    0.12107E-03   -0.81622E-08
   224    0.53382E+04    0.91769E+00    0.00000E+00    0.20310E+02    0.50557E-07    0.12007E-03    0.58746E-08
   225    0.53349E+04    0.94716E+00    0.00000E+00    0.21866E+02    0.50316E-07    0.11907E-03    0.19854E-07
   226    0.53310E+04    0.97828E+00    0.00000E+00    0.23429E+02    0.50076E-07    0.11809E-03    0.33776E-07
   227    0.53266E+04    0.10111E+01    0.00000E+00    0.24998E+02    0.49838E-07    0.11710E-03    0.47641E-07
   228    0.53216E+04    0.10455E+01    0.00000E+00    0.26573E+02    0.49602E-07    0.11613E-03    0.61446E-07
   229    0.53160E+04    0.10817E+01    0.00000E+00    0.28152E+02    0.49368E-07    0.11517E-03    0.75192E-07
