#    L    TT             EE             BB             TE          
   259    0.50260E+04    0.31699E+01    0.19891E-01    0.76016E+02
   260    0.50039E+04    0.32703E+01    0.20034E-01    0.77435E+02
   261    0.49812E+04    0.33727E+01    0.20177E-01    0.78824E+02
   262    0.49581E+04    0.34775E+01    0.20319E-01    0.80205E+02
   263    0.49348E+04    0.35843E+01    0.20461E-01    0.81570E+02
   264    0.49110E+04    0.36932E+01    0.20603E-01    0.82914E+02
   265    0.48866E+04    0.38042E+01    0.20744E-01    0.84227E+02
   266    0.48620E+04    0.39175E+01    0.20885E-01    0.85533E+02
   267    0.48369E+04    0.40327E+01    0.21026E-01    0.86808E+02
   268    0.48114E+04    0.41502E+01    0.21166E-01    0.88069E+02
   269    0.47854E+04    0.42697E+01    0.21306E-01    0.89307E+02
   270    0.47592E+04    0.43912E+01    0.21445E-01    0.90523E+02
   271    0.47325E+04    0.45147E+01    0.21584E-01    0.91717E+02
   272    0.47057E+04    0.46405E+01    0.21722E-01    0.92880E+02
   273    0.46784E+04    0.47679E+01    0.21860E-01    0.94029E+02
   274    0.46509E+04    0.48977E+01    0.21997E-01    0.95141E+02
   275    0.46230E+04    0.50291E+01    0.22134E-01    0.96238E+02
   276    0.45949E+04    0.51626E+01    0.22270E-01    0.97298E+02
   277    0.45663E+04    0.52980E+01    0.22406E-01    0.98343E+02
   278    0.45376E+04    0.54354E+01    0.22542E-01    0.99351E+02
   279    0.45086E+04    0.55745E+01    0.22676E-01    0.10033E+03
   280    0.44793E+04    0.57155E+01    0.22811E-01    0.10129E+03
   281    0.44498E+04    0.58584E+01    0.22944E-01    0.10222E+03
   282    0.44200E+04    0.60029E+01    0.23078E-01    0.10312E+03
   283    0.43900E+04    0.61492E+01    0.23210E-01    0.10399E+03
   284    0.43598E+04    0.62972E+01    0.23342E-01    0.10482E+03
   285    0.43294E+04    0.64470E+01    0.23474E-01    0.10563E+03
   286    0.42987E+04    0.65984E+01    0.23604E-01    0.10641E+03
   287    0.42678E+04    0.67513E+01    0.23735E-01    0.10716E+03
   288    0.42368E+04    0.69059E+01    0.23864E-01    0.10787E+03
   289    0.42056E+04    0.70620E+01    0.23994E-01    0.10856E+03
   290    0.41742E+04    0.72194E+01    0.24122E-01    0.10921E+03
   291    0.41427E+04    0.73790E+01    0.24250E-01    0.10982E+03
   292    0.41108E+04    0.75395E+01    0.24377E-01    0.11041E+03
   293    0.40791E+04    0.77007E+01    0.24504E-01    0.11096E+03
   294    0.40471E+04    0.78639E+01    0.24630E-01    0.11149E+03
   295    0.40151E+04    0.80278E+01    0.24755E-01    0.11197E+03
   296    0.39829E+04    0.81938E+01    0.24880E-01    0.11242E+03
   297    0.39507E+04    0.83597E+01    0.25004E-01    0.11284E+03
   298    0.39182E+04    0.85277E+01    0.25128E-01    0.11322E+03
   299    0.38857E+04    0.86970E+01    0.25251E-01    0.11356E+03
   300    0.38532E+04    0.88662E+01    0.25373E-01    0.11387E+03
   301    0.38205E+04    0.90368E+01    0.25494E-01    0.11415E+03
   302    0.37879E+04    0.92080E+01    0.25615E-01    0.11439E+03
   303    0.37552E+04    0.93805E+01    0.25736E-01    0.11460E+03
   304    0.37225E+04    0.95544E+01    0.25855E-01    0.11476E+03
   305    0.36898E+04    0.97282E+01    0.25974E-01    0.11489E+03
   306    0.36570E+04    0.99026E+01    0.26093E-01    0.11499E+03
   307    0.36242E+04    0.10078E+02    0.26210E-01    0.11504E+03
   308    0.35915E+04    0.10255E+02    0.26327E-01    0.11507E+03
   309    0.35589E+04    0.10431E+02    0.26444E-01    0.11506E+03
   310    0.35261E+04    0.10607E+02    0.26560E-01    0.11501E+03
   311    0.34935E+04    0.10786E+02    0.26675E-01    0.11492E+03
   312    0.34610E+04    0.10963E+02    0.26789E-01    0.11480E+03
   313    0.34285E+04    0.11141E+02    0.26903E-01    0.11463E+03
   314    0.33960E+04    0.11320E+02    0.27016E-01    0.11444E+03
   315    0.33637E+04    0.11498E+02    0.27129E-01    0.11421E+03
   316    0.33314E+04    0.11676E+02    0.27240E-01    0.11393E+03
   317    0.32993E+04    0.11854E+02    0.27352E-01    0.11363E+03
   318    0.32672E+04    0.12033E+02    0.27462E-01    0.11328E+03
   319    0.32353E+04    0.12211E+02    0.27572E-01    0.11290E+03
   320    0.32035E+04    0.12389E+02    0.27681E-01    0.11250E+03
   321    0.31718E+04    0.12568E+02    0.27790E-01    0.11205E+03
   322    0.31403E+04    0.12745E+02    0.27898E-01    0.11156E+03
   323    0.31089E+04    0.12922E+02    0.28005E-01    0.11104E+03
   324    0.30777E+04    0.13100E+02    0.28112E-01    0.11047E+03
   325    0.30468E+04    0.13275E+02    0.28219E-01    0.10988E+03
   326    0.30159E+04    0.13451E+02    0.28324E-01    0.10925E+03
   327    0.29852E+04    0.13626E+02    0.28429E-01    0.10858E+03
   328    0.29548E+04    0.13800E+02    0.28534E-01    0.10789E+03
   329    0.29245E+04    0.13974E+02    0.28638E-01    0.10715E+03
   330    0.28945E+04    0.14146E+02    0.28741E-01    0.10638E+03
   331    0.28647E+04    0.14317E+02    0.28844E-01    0.10557E+03
   332    0.28351E+04    0.14488E+02    0.28946E-01    0.10474E+03
   333    0.28058E+04    0.14658E+02    0.29048E-01    0.10388E+03
   334    0.27767E+04    0.14827E+02    0.29149E-01    0.10298E+03
   335    0.27478E+04    0.14993E+02    0.29250E-01    0.10204E+03
   336    0.27192E+04    0.15159E+02    0.29350E-01    0.10108E+03
   337    0.26909E+04    0.15324E+02    0.29450E-01    0.10007E+03
   338    0.26628E+04    0.15486E+02    0.29549E-01    0.99041E+02
   339    0.26351E+04    0.15649E+02    0.29648E-01    0.97977E+02
   340    0.26077E+04    0.15809E+02    0.29747E-01    0.96892E+02
   341    0.25804E+04    0.15967E+02    0.29845E-01    0.95764E+02
   342    0.25535E+04    0.16125E+02    0.29942E-01    0.94608E+02
   343    0.25270E+04    0.16280E+02    0.30040E-01    0.93424E+02
   344    0.25007E+04    0.16434E+02    0.30137E-01    0.92212E+02
   345    0.24748E+04    0.16585E+02    0.30233E-01    0.90971E+02
   346    0.24491E+04    0.16736E+02    0.30330E-01    0.89710E+02
   347    0.24238E+04    0.16883E+02    0.30426E-01    0.88414E+02
   348    0.23989E+04    0.17028E+02    0.30522E-01    0.87090E+02
   349    0.23742E+04    0.17172E+02    0.30617E-01    0.85737E+02
   350    0.23499E+04    0.17312E+02    0.30712E-01    0.84364E+02
   351    0.23262E+04    0.17452E+02    0.30807E-01    0.82963E+02
   352    0.23025E+04    0.17589E+02    0.30902E-01    0.81534E+02
   353    0.22794E+04    0.17722E+02    0.30997E-01    0.80091E+02
   354    0.22565E+04    0.17854E+02    0.31092E-01    0.78613E+02
   355    0.22340E+04    0.17984E+02    0.31186E-01    0.77115E+02
   356    0.22119E+04    0.18111E+02    0.31280E-01    0.75603E+02
   357    0.21902E+04    0.18235E+02    0.31375E-01    0.74064E+02
   358    0.21689E+04    0.18356E+02    0.31469E-01    0.72511E+02
   359    0.21480E+04    0.18474E+02    0.31563E-01    0.70930E+02
   360    0.21274E+04    0.18590E+02    0.31657E-01    0.69332E+02
   361    0.21072E+04    0.18703E+02    0.31751E-01    0.67712E+02
   362    0.20875E+04    0.18813E+02    0.31845E-01    0.66074E+02
   363    0.20681E+04    0.18922E+02    0.31939E-01    0.64420E+02
   364    0.20492E+04    0.19025E+02    0.32033E-01    0.62746E+02
   365    0.20306E+04    0.19127E+02    0.32127E-01    0.61058E+02
   366    0.20125E+04    0.19225E+02    0.32221E-01    0.59353E+02
   367    0.19948E+04    0.19319E+02    0.32316E-01    0.57632E+02
   368    0.19774E+04    0.19411E+02    0.32410E-01    0.55899E+02
   369    0.19606E+04    0.19500E+02    0.32505E-01    0.54150E+02
   370    0.19441E+04    0.19586E+02    0.32600E-01    0.52391E+02
   371    0.19280E+04    0.19667E+02    0.32695E-01    0.50617E+02
   372    0.19123E+04    0.19746E+02    0.32790E-01    0.48834E+02
   373    0.18971E+04    0.19821E+02    0.32885E-01    0.47038E+02
   374    0.18823E+04    0.19894E+02    0.32981E-01    0.45233E+02
   375    0.18679E+04    0.19962E+02    0.33076E-01    0.43419E+02
   376    0.18540E+04    0.20028E+02    0.33173E-01    0.41596E+02
   377    0.18405E+04    0.20090E+02    0.33269E-01    0.39767E+02
   378    0.18274E+04    0.20148E+02    0.33366E-01    0.37929E+02
   379    0.18147E+04    0.20203E+02    0.33463E-01    0.36086E+02
   380    0.18025E+04    0.20255E+02    0.33560E-01    0.34236E+02
   381    0.17907E+04    0.20300E+02    0.33657E-01    0.32383E+02
   382    0.17792E+04    0.20344E+02    0.33755E-01    0.30526E+02
   383    0.17683E+04    0.20384E+02    0.33854E-01    0.28665E+02
   384    0.17578E+04    0.20420E+02    0.33953E-01    0.26803E+02
   385    0.17477E+04    0.20453E+02    0.34052E-01    0.24938E+02
   386    0.17380E+04    0.20483E+02    0.34151E-01    0.23073E+02
   387    0.17287E+04    0.20507E+02    0.34251E-01    0.21207E+02
   388    0.17199E+04    0.20529E+02    0.34352E-01    0.19343E+02
   389    0.17114E+04    0.20544E+02    0.34453E-01    0.17480E+02
   390    0.17035E+04    0.20559E+02    0.34554E-01    0.15620E+02
   391    0.16959E+04    0.20569E+02    0.34656E-01    0.13763E+02
   392    0.16887E+04    0.20577E+02    0.34758E-01    0.11909E+02
   393    0.16820E+04    0.20580E+02    0.34861E-01    0.10060E+02
   394    0.16756E+04    0.20579E+02    0.34965E-01    0.82176E+01
